Text 1,Text 2,Cosine Similarity
"Space exploration helps scientists understand planets, stars, and the universe.",Scientists are developing new technologies to explore distant planets and moons.,0.5968
Reducing carbon emissions can help slow the effects of climate change.,Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,0.5812
Climate change is causing significant changes in global weather patterns.,Reducing carbon emissions can help slow the effects of climate change.,0.5493
Regular exercise helps people maintain a healthy and active lifestyle.,Eating a balanced diet provides the body with essential nutrients and energy.,0.4988
Football is one of the most popular sports in many countries around the world.,Cricket matches attract millions of viewers and fans across different countries.,0.4823
Machine learning enables computers to learn patterns from data without explicit programming.,Deep learning uses neural networks to solve complex problems involving large amounts of data.,0.475
Artificial intelligence is transforming many industries by automating complex tasks.,Deep learning uses neural networks to solve complex problems involving large amounts of data.,0.4577
Reducing carbon emissions can help slow the effects of climate change.,Electric vehicles are becoming increasingly popular because they can reduce fuel consumption.,0.4337
Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,Electric vehicles are becoming increasingly popular because they can reduce fuel consumption.,0.4336
Artificial intelligence is transforming many industries by automating complex tasks.,Machine learning enables computers to learn patterns from data without explicit programming.,0.3963
